RESTAURANT,ADDRESS,CATEGORY,RATING,RESTAURANT IMAGE,LINK,ITEM,ITEM IMGAGE,PRICE
Bánh Tráng Chấm Chị Hai,"209/94/1 Tôn Thất Thuyết, Quận 4, TP. HCM",Ăn vặt/vỉa hè,6.4,https://images.foody.vn/res/g74/738920/prof/s640x400/foody-upload-api-foody-mobile-hjhj-jpg-180508105701.jpg,https://www.foody.vn/ho-chi-minh/banh-trang-cham-chi-hai,Bánh tráng chấm,https://images.foody.vn/res/g74/738920/s120x120/a43d0826-312f-498f-8836-a16a6108fa4f.jpg,"13,000đ"
Bánh Tráng Chấm Chị Hai,"209/94/1 Tôn Thất Thuyết, Quận 4, TP. HCM",Ăn vặt/vỉa hè,6.4,https://images.foody.vn/res/g74/738920/prof/s640x400/foody-upload-api-foody-mobile-hjhj-jpg-180508105701.jpg,https://www.foody.vn/ho-chi-minh/banh-trang-cham-chi-hai,Bánh tráng cuốn,https://images.foody.vn/res/g74/738920/s120x120/09aac593-3a4e-435e-915b-f661ac96ef41.jpg,"17,000đ"
Bánh Tráng Chấm Chị Hai,"209/94/1 Tôn Thất Thuyết, Quận 4, TP. HCM",Ăn vặt/vỉa hè,6.4,https://images.foody.vn/res/g74/738920/prof/s640x400/foody-upload-api-foody-mobile-hjhj-jpg-180508105701.jpg,https://www.foody.vn/ho-chi-minh/banh-trang-cham-chi-hai,Bánh tráng trộn,https://images.foody.vn/res/g74/738920/s120x120/eae16031-0cf2-403a-8e9d-2cfcd79e20f8.jpg,"17,000đ"
Bánh Tráng Chấm Chị Hai,"209/94/1 Tôn Thất Thuyết, Quận 4, TP. HCM",Ăn vặt/vỉa hè,6.4,https://images.foody.vn/res/g74/738920/prof/s640x400/foody-upload-api-foody-mobile-hjhj-jpg-180508105701.jpg,https://www.foody.vn/ho-chi-minh/banh-trang-cham-chi-hai,Trứng cút,https://images.foody.vn/res/g74/738920/s120x120/1c9d0089-8ab1-4dbb-a570-5d55cfb38396.jpg,"1,000đ"
Bánh Tráng Chấm Chị Hai,"209/94/1 Tôn Thất Thuyết, Quận 4, TP. HCM",Ăn vặt/vỉa hè,6.4,https://images.foody.vn/res/g74/738920/prof/s640x400/foody-upload-api-foody-mobile-hjhj-jpg-180508105701.jpg,https://www.foody.vn/ho-chi-minh/banh-trang-cham-chi-hai,Trứng vữa,https://images.foody.vn/res/g74/738920/s120x120/8db07930-05a5-424c-b8a2-de16e1acc76d.jpg,"13,000đ"
Bánh Tráng Chấm Chị Hai,"209/94/1 Tôn Thất Thuyết, Quận 4, TP. HCM",Ăn vặt/vỉa hè,6.4,https://images.foody.vn/res/g74/738920/prof/s640x400/foody-upload-api-foody-mobile-hjhj-jpg-180508105701.jpg,https://www.foody.vn/ho-chi-minh/banh-trang-cham-chi-hai,Gỏi xoài,https://images.foody.vn/res/g74/738920/s120x120/8ae52f81-7756-4629-988c-e583eb32ba90.jpg,"17,000đ"
Mầm - Healthyfood - Đường số 6,"35 Đường Số 6, P. 4, Quận 4, TP. HCM",Shop Online,7.1,https://images.foody.vn/res/g86/859759/prof/s640x400/foody-upload-api-foody-mobile-aaaaa-191104095109.jpg,https://www.foody.vn/ho-chi-minh/mam-healthyfood-duong-so-6,Sandwich gà (Chicken Sandwich),https://images.foody.vn/res/g86/859759/s120x120/ba9583d3-7e13-437e-8aba-17f82c78d2cc.jpg,"40,000đ"
Mầm - Healthyfood - Đường số 6,"35 Đường Số 6, P. 4, Quận 4, TP. HCM",Shop Online,7.1,https://images.foody.vn/res/g86/859759/prof/s640x400/foody-upload-api-foody-mobile-aaaaa-191104095109.jpg,https://www.foody.vn/ho-chi-minh/mam-healthyfood-duong-so-6,Sandwich cá ngừ ( Tuna Sandwich),https://images.foody.vn/res/g86/859759/s120x120/77769803-c54b-47f4-b677-b4b93f66-bff545b0-210420093829.jpeg,"45,000đ"
Mầm - Healthyfood - Đường số 6,"35 Đường Số 6, P. 4, Quận 4, TP. HCM",Shop Online,7.1,https://images.foody.vn/res/g86/859759/prof/s640x400/foody-upload-api-foody-mobile-aaaaa-191104095109.jpg,https://www.foody.vn/ho-chi-minh/mam-healthyfood-duong-so-6,Sandwich bò củ sen ( Beef sandwich w/lotus root),https://images.foody.vn/res/g86/859759/s120x120/028d6cec-1677-41dc-9ca2-057bb6d9-1cd22a96-200926092635.jpeg,"49,000đ"
Mầm - Healthyfood - Đường số 6,"35 Đường Số 6, P. 4, Quận 4, TP. HCM",Shop Online,7.1,https://images.foody.vn/res/g86/859759/prof/s640x400/foody-upload-api-foody-mobile-aaaaa-191104095109.jpg,https://www.foody.vn/ho-chi-minh/mam-healthyfood-duong-so-6,Salad Cá Ngừ ( Tuna salad ),https://images.foody.vn/res/g86/859759/s120x120/fa2235c1-365a-41f2-a676-92fda4e0-feb87604-210420093924.jpeg,"69,000đ"
Mầm - Healthyfood - Đường số 6,"35 Đường Số 6, P. 4, Quận 4, TP. HCM",Shop Online,7.1,https://images.foody.vn/res/g86/859759/prof/s640x400/foody-upload-api-foody-mobile-aaaaa-191104095109.jpg,https://www.foody.vn/ho-chi-minh/mam-healthyfood-duong-so-6,Salad gà (Chicken salad),https://images.foody.vn/res/g86/859759/s120x120/d5fecf1a-7c40-4b17-8254-fb785339-1a3cc7cc-210420094017.jpeg,"69,000đ"
Mầm - Healthyfood - Đường số 6,"35 Đường Số 6, P. 4, Quận 4, TP. HCM",Shop Online,7.1,https://images.foody.vn/res/g86/859759/prof/s640x400/foody-upload-api-foody-mobile-aaaaa-191104095109.jpg,https://www.foody.vn/ho-chi-minh/mam-healthyfood-duong-so-6,Salad bò ( Beef salad ),https://images.foody.vn/res/g86/859759/s120x120/15dc390b-53c2-4d24-9232-e8b2fc5bf569.jpg,"75,000đ"
Mầm - Healthyfood - Đường số 6,"35 Đường Số 6, P. 4, Quận 4, TP. HCM",Shop Online,7.1,https://images.foody.vn/res/g86/859759/prof/s640x400/foody-upload-api-foody-mobile-aaaaa-191104095109.jpg,https://www.foody.vn/ho-chi-minh/mam-healthyfood-duong-so-6,Salad Cotlet Heo Sốt BBQ (Pork Cutlet Salad),https://images.foody.vn/res/g86/859759/s120x120/9db49d5e-9925-4818-b5fb-c43a2edee1b8.jpg,"69,000đ"
Mầm - Healthyfood - Đường số 6,"35 Đường Số 6, P. 4, Quận 4, TP. HCM",Shop Online,7.1,https://images.foody.vn/res/g86/859759/prof/s640x400/foody-upload-api-foody-mobile-aaaaa-191104095109.jpg,https://www.foody.vn/ho-chi-minh/mam-healthyfood-duong-so-6,Salad gà Napoli (Chicken Napoli salad),https://images.foody.vn/res/g86/859759/s120x120/927c37f2-4855-408c-9e6b-69cbc441-a33c5b51-210420094040.jpeg,"69,000đ"
Mầm - Healthyfood - Đường số 6,"35 Đường Số 6, P. 4, Quận 4, TP. HCM",Shop Online,7.1,https://images.foody.vn/res/g86/859759/prof/s640x400/foody-upload-api-foody-mobile-aaaaa-191104095109.jpg,https://www.foody.vn/ho-chi-minh/mam-healthyfood-duong-so-6,Bò nướng sốt tiêu (Roasted beef w/ pepper sauce),https://images.foody.vn/res/g86/859759/s120x120/6bc9b779-7041-4cba-a9a4-4aa7cb30-7e5772db-210420092130.jpeg,"69,000đ"
Mầm - Healthyfood - Đường số 6,"35 Đường Số 6, P. 4, Quận 4, TP. HCM",Shop Online,7.1,https://images.foody.vn/res/g86/859759/prof/s640x400/foody-upload-api-foody-mobile-aaaaa-191104095109.jpg,https://www.foody.vn/ho-chi-minh/mam-healthyfood-duong-so-6,Gà nướng mù tạt mật ong (Chicken w/mustard & hone,https://images.foody.vn/res/g86/859759/s120x120/12911fd1-837a-4588-907b-a57351dbbdf9.jpg,"59,000đ"
Cháo Sườn Cô Giang - Khánh Hội,"65 Khánh Hội, P. 3, Quận 4, TP. HCM",Ăn vặt/vỉa hè,1.8,https://images.foody.vn/res/g103/1021889/prof/s640x400/foody-upload-api-foody-mobile-foody-mobile-img_846-200506103057.jpg,https://www.foody.vn/ho-chi-minh/chao-suon-co-giang-khanh-hoi,Cháo thịt bằm,https://images.foody.vn/res/g26/255841/s120x120/3a959093-3efa-431d-9e24-66ebc606-ce066b60-210718225810.jpeg,"19,000đ"
