NAME,ADDRESS,IMAGE URL,LINK,DISH,DISH IMGAGE,PRICE
Ròm - Chân Gà Rút Xương Ngâm Sả Tắc - Khuông Việt,341/19/91 Khuông Việt  P. Phú Trung  Quận Tân Phú  TP. HCM,https://images.foody.vn/res/g105/1045264/prof/s640x400/file_restaurant_photo_xksq_16252-8a3ca878-210703111610.jpg,https://www.foody.vn/ho-chi-minh/rom-chan-ga-rut-xuong-ngam-sa-tac-khuong-viet,,,
Ròm - Chân Gà Rút Xương Ngâm Sả Tắc,237/62 Hòa Bình  P. Hiệp Tân  Quận Tân Phú  TP. HCM,https://images.foody.vn/res/g105/1042940/prof/s640x400/file_restaurant_photo_wb9b_16252-7182f6dd-210703111551.jpg,https://www.foody.vn/ho-chi-minh/rom-chan-ga-rut-xuong-ngam-sa-tac,,,
Bếp Rùa - Chân Gà Rút Xương Ngâm Sả Tắc - Shop Online - Phú Thọ Hoà,94/22/2A Phú Thọ Hòa  P. Phú Thọ Hòa  Quận Tân Phú  TP. HCM,https://images.foody.vn/res/g105/1041514/prof/s640x400/foody-upload-api-foody-mobile-foody-upload-api-foo-200811120948.jpg,https://www.foody.vn/ho-chi-minh/bep-rua-chan-ga-rut-xuong-ngam-sa-tac-shop-online-phu-tho-hoa,,,
Bếp Rùa - Chân Gà Rút Xương Ngâm Sả Tắc - Shop Online - Khuôn Việt,239/51 Khuông Việt  P. Phú Trung  Quận Tân Phú  TP. HCM,https://images.foody.vn/res/g105/1043083/prof/s640x400/foody-upload-api-foody-mobile-foody-upload-api-foo-200819141234.jpg,https://www.foody.vn/ho-chi-minh/bep-rua-chan-ga-rut-xuong-ngam-sa-tac-shop-online-khuon-viet,,,
Bếp Rùa - Chân Gà Rút Xương Ngâm Sả Tắc - Shop Online - Hòa Bình,237/62 Hoà Bình  P. Hiệp Tân  Quận Tân Phú  TP. HCM,https://images.foody.vn/res/g114/1130417/prof/s640x400/foody-upload-api-foody-mobile-an-dcd7bd85-220322090036.jpeg,https://www.foody.vn/ho-chi-minh/bep-rua-chan-ga-rut-xuong-ngam-sa-tac-shop-online-hoa-binh,,,
Bếp Rùa - Chân Gà Rút Xương Ngâm Sả Tắc - Shop Online,127/5/9 Lê Thúc Hoạch  P. Phú Thọ Hòa  Quận Tân Phú  TP. HCM,https://images.foody.vn/res/g91/907273/prof/s640x400/foody-upload-api-foody-mobile-8-190611164031.jpg,https://www.foody.vn/ho-chi-minh/bep-rua-chan-ga-rut-xuong-ngam-sa-tac-shop-online,,,
Cháo Sườn Ông Tạ - Phạm Văn Hai,302 Phạm Văn Hai  P. 5  Quận Tân Bình  TP. HCM,https://images.foody.vn/res/g1/7944/prof/s640x400/foody-mobile-4zpsfjra-jpg-786-635951206955267418.jpg,https://www.foody.vn/ho-chi-minh/chao-suon-pham-van-hai,,,
Thành Mập - Chân Gà Rút Xương Ngâm Sả Tắc - Bạch Đằng - Shop Online,159/49/9 Bạch Đằng  P. 2  Quận Tân Bình  TP. HCM,https://images.foody.vn/res/g100/990502/prof/s640x400/foody-upload-api-foody-mobile-foody-upload-api-foo-191216172331.jpg,https://www.foody.vn/ho-chi-minh/thanh-map-chan-ga-rut-xuong-ngam-sa-tac-bach-dang-shop-online,,,
Cháo Sườn 375,Vỉa Hè 345 Hai Bà Trưng (Đối Diện Cổng Chợ Tân Định)  Quận 3  TP. HCM,https://images.foody.vn/res/g67/664452/prof/s640x400/foody-mobile-wdqwd-jpg-403-636322689153094642.jpg,https://www.foody.vn/ho-chi-minh/chao-suon-375,,,
Hảo Ký Mì Gia - Hủ Tiếu Xào - Đường Số 9,90 Đường Số 9  P. 8  Quận 11  TP. HCM,https://images.foody.vn/res/g100003/1000027506/prof/s640x400/file_9b8ba82a-06aa-4643-bca6-ae5-56a19895-210609144915.jpeg,https://www.foody.vn/ho-chi-minh/hao-ky-mi-gia-hu-tieu-xao-duong-so-9.d6s78l,,,
Xôi Thúy Linh,843 Lê Đức Thọ  P. 13  Quận Gò Vấp  TP. HCM,https://images.foody.vn/res/g78/777532/prof/s640x400/foody-upload-api-foody-mobile-hmkp-jpg-180912164236.jpg,https://www.foody.vn/ho-chi-minh/xoi-thuy-linh,,,
Don Chicken - Nhà Hàng Gà Nướng Hàn Quốc - Phan Xích Long,222 Phan Xích Long  P. 7  Quận Phú Nhuận  TP. HCM,https://images.foody.vn/res/g108/1070042/prof/s640x400/foody-upload-api-foody-mobile-foody-upload-api-foo-210320152526.jpg,https://www.foody.vn/ho-chi-minh/don-chicken-nha-hang-ga-nuong-han-quoc-phan-xich-long,,,
Busan Korean Food - Món Hàn Quốc - Lê Văn Sỹ,346 Lê Văn Sỹ  P. 14  Quận 3  TP. HCM,https://images.foody.vn/res/g66/654707/prof/s640x400/foody-mobile--a7aa1ec3434ca871756-539-636301173468369500.jpg,https://www.foody.vn/ho-chi-minh/busan-korean-food-mon-han-quoc-le-van-sy,,,
